ID,Real_Height,Nom_DegDay_May ,Acc_DegDay,ThermU_Day,Avg_Temp,SolarRadi_Day,Light_Dur_Day,AVG_LightInt_Day,Rain,Wind,RGR,GS_Days,Genotype,Grow_Stg
1,20.6,51,1269,9.7,10.9,7.5,14.8,95.63,3,19,NAN,-24,G1,1
2,23.2,63,1280,11.4,10.5,6.1,15.4,83.16,3.3,15,12.621%,-23,G1,1
3,21.5,69,1286,6.1,13.3,3.6,15.6,84.54,0,32,-7.328%,-22,G1,1
4,24.4,86,1303,16.9,10.8,9.2,15.4,89.83,0,18,13.488%,-21,G1,1
5,25.8,98,1315,11.9,15.6,8,16.1,86.88,0,29,5.738%,-20,G1,1
6,30.6,104,1322,6.5,13.9,8,15.9,85.38,0.7,29,18.605%,-19,G1,1
7,29.9,117,1334,12.4,9.7,9.7,14.6,81.87,0,16,-2.288%,-18,G1,1
8,31.5,127,1345,10.7,7.0,0.1,16.1,80.13,0,19,5.351%,-17,G1,1
9,32.5,136,1353,8.2,10.6,5.1,15.9,88.68,0,15,3.175%,-16,G1,1
10,34.7,142,1359,6.6,13.5,6.4,16.1,83.93,0,15,6.769%,-15,G1,1
11,35.7,154,1371,11.5,10.0,6.1,14.6,82.86,2.5,20,2.882%,-14,G1,1
12,36.9,158,1375,4.5,10.6,2.9,16.1,76.2,8.3,22,3.361%,-13,G1,1
13,41,166,1384,8.1,10.2,8.2,14.3,73.51,6,24,11.111%,-12,G1,1
14,43.8,177,1394,10.8,9.1,7,14.6,76.05,0,15,6.829%,-11,G1,1
15,44.8,192,1410,15.4,11.2,11.2,14.9,80.59,0,18,2.283%,-10,G1,1
16,46.6,208,1425,15.3,12.8,0.8,16.4,81.92,0,16,4.018%,-9,G1,1
17,47.6,212,1429,3.9,12.8,6.5,16.1,83.24,0,17,2.146%,-8,G1,1
18,49.1,226,1443,14.2,10.4,4.6,15.3,71.81,1,15,3.151%,-7,G1,1
19,51.5,236,1453,10.3,9.9,1.3,15.1,72.06,0.2,19,4.888%,-6,G1,1
20,54.4,244,1462,8.3,11.5,3.9,16.4,73.19,0,10,5.631%,-5,G1,1
21,57.4,257,1474,12.7,11.5,8.4,16.4,69.18,0.2,29,5.515%,-4,G1,1
22,60.3,265,1482,7.4,13.8,8,16.6,78.49,0,25,5.052%,-3,G1,1
23,62.8,274,1491,9.2,9.4,4.3,16.9,77.72,5.8,25,4.146%,-2,G1,1
24,64.1,288,1506,14.5,9.8,8.1,17.1,76.53,2.2,19,2.070%,-1,G1,1
25,16.1,51,1269,9.7,10.9,7.5,14.8,95.63,3,19,NAN,-39,G2,1
26,18.3,63,1280,11.4,10.5,6.1,15.4,83.16,3.3,15,13.665%,-38,G2,1
27,21.6,69,1286,6.1,13.3,3.6,15.6,84.54,0,32,18.033%,-37,G2,1
28,23.6,86,1303,16.9,10.8,9.2,15.4,89.83,0,18,9.259%,-36,G2,1
29,23.5,98,1315,11.9,15.6,8,16.1,86.88,0,29,-0.424%,-35,G2,1
30,24.2,104,1322,6.5,13.9,8,15.9,85.38,0.7,29,2.979%,-34,G2,1
31,27,117,1334,12.4,9.7,9.7,14.6,81.87,0,16,11.570%,-33,G2,1
32,27.3,127,1345,10.7,7.0,0.1,16.1,80.13,0,19,1.111%,-32,G2,1
33,27.9,136,1353,8.2,10.6,5.1,15.9,88.68,0,15,2.198%,-31,G2,1
34,30.8,142,1359,6.6,13.5,6.4,16.1,83.93,0,15,10.394%,-30,G2,1
35,32,154,1371,11.5,10.0,6.1,14.6,82.86,2.5,20,3.896%,-29,G2,1
36,36,158,1375,4.5,10.6,2.9,16.1,76.2,8.3,22,12.500%,-28,G2,1
37,38,166,1384,8.1,10.2,8.2,14.3,73.51,6,24,5.556%,-27,G2,1
38,37.1,177,1394,10.8,9.1,7,14.6,76.05,0,15,-2.368%,-26,G2,1
39,40.5,192,1410,15.4,11.2,11.2,14.9,80.59,0,18,9.164%,-25,G2,1
40,39.1,208,1425,15.3,12.8,0.8,16.4,81.92,0,16,-3.457%,-24,G2,1
41,42.2,212,1429,3.9,12.8,6.5,16.1,83.24,0,17,7.928%,-23,G2,1
42,46.5,226,1443,14.2,10.4,4.6,15.3,71.81,1,15,10.190%,-22,G2,1
43,49.3,236,1453,10.3,9.9,1.3,15.1,72.06,0.2,19,6.022%,-21,G2,1
44,51.1,244,1462,8.3,11.5,3.9,16.4,73.19,0,10,3.651%,-20,G2,1
45,52.9,257,1474,12.7,11.5,8.4,16.4,69.18,0.2,29,3.523%,-19,G2,1
46,54.9,265,1482,7.4,13.8,8,16.6,78.49,0,25,3.781%,-18,G2,1
47,56.1,274,1491,9.2,9.4,4.3,16.9,77.72,5.8,25,2.186%,-17,G2,1
48,60.9,288,1506,14.5,9.8,8.1,17.1,76.53,2.2,19,8.556%,-16,G2,1
49,63,297,1514,8.4,12.4,1.2,16.9,85.21,0.3,19,3.448%,-15,G2,1
50,65,310,1527,13.2,9.6,6.9,17.2,78.97,1.6,28,3.175%,-14,G2,1
51,65.8,320,1537,9.9,14.7,3.7,16.5,84.97,0.3,39,1.231%,-13,G2,1
52,66.2,328,1546,8.5,14.9,6.9,17.4,89.16,0,19,0.608%,-12,G2,1
53,66.9,346,1563,17.6,12.0,13.6,16.9,83.36,4.6,19,1.057%,-11,G2,1
54,70.1,363,1580,17.3,15.7,4.9,17.1,72.84,0.2,17,4.783%,-10,G2,1
55,71.6,375,1593,12.3,12.2,13.4,16.9,81.9,0,26,2.140%,-9,G2,1
56,75.4,388,1606,13,11.3,13.9,16.6,95.16,0,17,5.307%,-8,G2,1
57,76.6,402,1619,13.3,9.2,13.8,16.4,93.81,0,19,1.592%,-7,G2,1
