Date,Day_ID,Height,Nom_DegDay,Accu_DegDay,Avg_Temp,SolarRadi_Day,Light_Dur_Day,Rainfall,Wind,RGR,Genotype,Grow_Stg,GS_Days
18/04/2016,1,27.3,8.2,1249.7,8.5,47.9,14.5,0,6,1.64%,G1,1,-30
19/04/2016,2,28.7,7.8,1257.9,8.8,89.3,15,0,4.4,4.73%,G1,1,-29
20/04/2016,3,29.2,5.8,1265.7,6.5,104.6,15,0,3.5,1.70%,G1,1,-28
21/04/2016,4,29.5,7.9,1271.5,8.6,88.4,15,0,4.4,0.87%,G1,1,-27
22/04/2016,5,30.7,7.9,1279.4,8,43.7,15,1,5,4.02%,G1,1,-26
23/04/2016,6,31.7,5.8,1287.3,6,74.2,15,1.6,5.2,3.10%,G1,1,-25
24/04/2016,7,32,5.1,1293.1,5.3,73.1,15,0.3,7.7,1.04%,G1,1,-24
25/04/2016,8,33,5.8,1298.2,5.6,33.1,15,8.5,6.5,3.02%,G1,1,-23
26/04/2016,9,33.2,4.8,1304,4.6,76.2,15,6.4,11.8,0.70%,G1,1,-22
27/04/2016,10,33.5,5.2,1308.8,5.7,71.1,15.5,0.2,7.7,0.72%,G1,1,-21
28/04/2016,11,35.1,5.5,1314,5.7,69,15.5,4.1,5.5,4.61%,G1,1,-20
29/04/2016,12,36.4,6.9,1319.5,6.9,83.3,15.5,0,9,3.66%,G1,1,-19
30/04/2016,13,35.5,6.8,1326.4,6.7,90.5,15.5,0.2,4.1,2.74%,G1,1,-18
01/05/2016,14,36.7,7.7,1333.2,8.7,100.5,15.5,0.2,4.1,3.49%,G1,1,-17
02/05/2016,15,37.5,13,1340.9,12.1,53.1,16,4.5,6.7,1.90%,G1,1,-16
03/05/2016,16,38.6,9.6,1353.9,9.6,95.1,16,0,5.2,3.01%,G1,1,-15
04/05/2016,17,39.7,9.7,1363.4,10.8,103.4,16,0,4.8,2.63%,G1,1,-14
05/05/2016,18,41.4,13.6,1373.1,13.3,116.2,16,0,5.5,4.21%,G1,1,-13
06/05/2016,19,43.2,12.4,1386.7,13.3,98.2,16,0,3.4,4.10%,G1,1,-12
07/05/2016,20,45,15.6,1399.1,16.4,107.7,16,0,4.2,4.15%,G1,1,-11
08/05/2016,21,46.2,16.6,1414.7,18,115.3,16,0,3.9,2.48%,G1,1,-10
09/05/2016,22,47.6,18.2,1431.2,18,115.4,16.5,1.8,6.4,3.05%,G1,1,-9
10/05/2016,23,48.9,14.9,1449.4,14.7,28.7,16,3.9,3.6,2.55%,G1,1,-8
11/05/2016,24,50.8,15.4,1464.3,15.3,58.8,16,0,3.7,3.73%,G1,1,-7
12/05/2016,25,52.6,15.5,1479.7,15.2,112.5,16.5,0,4.8,3.37%,G1,1,-6
13/05/2016,26,53.9,11.1,1495.3,10.9,65.9,16.5,0,5.7,2.48%,G1,1,-5
14/05/2016,27,56,7.7,1506.4,8.4,76.9,16.5,0,6.3,3.83%,G1,1,-4
15/05/2016,28,57.4,8.8,1514.1,9,75.5,16.5,0,3.5,2.41%,G1,1,-3
16/05/2016,29,57.8,11.9,1523,11.9,66.1,16,0,2.4,0.73%,G1,1,-2
17/05/2016,30,58.9,12,1534.9,12.1,79.5,16.5,0,4,1.75%,G1,1,-1
18/05/2016,31,59.9,13.4,1546.9,13,49,16.5,1,5.1,1.73%,G1,2,1
19/05/2016,32,61,13,1560.3,14,85.3,16.5,0,4.1,1.77%,G1,2,2
20/05/2016,33,62.6,15.6,1573.3,15.6,68.5,17,0.3,5.9,2.53%,G1,2,3
21/05/2016,34,63.8,16.4,1589,16,71.2,17,0,6.8,1.89%,G1,2,4
22/05/2016,35,65.5,15.3,1605.3,15,83.1,16.5,0,4,2.67%,G1,2,5
23/05/2016,36,67.4,12.8,1620.7,12.4,79.1,17,0,5.3,2.75%,G1,2,6
24/05/2016,37,68.9,10,1633.5,10.6,81.1,16.5,0.8,5.1,2.27%,G1,2,7
25/05/2016,38,70.1,9.9,1643.5,10,32,16.5,2.9,4.3,1.60%,G1,2,8
26/05/2016,39,70.5,12.4,1653.4,12.2,59.1,17,0,2.5,0.70%,G1,2,9
27/05/2016,40,71.2,11.5,1665.8,11.6,92.4,17,0,3.4,0.89%,G1,3,1
